STATE,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
A & N ISLANDS,2,2,2,2,2,2,1,2,2,2,2,3,0,0
A&N ISLANDS,0,0,0,0,0,0,0,0,0,0,0,0,4,3
ANDHRA PRADESH,26,26,27,27,27,26,26,26,26,27,27,27,28,14
ARUNACHAL PRADESH,13,13,15,15,15,15,15,15,16,16,16,16,18,17
ASSAM,27,26,26,26,29,29,29,29,29,29,29,31,33,27
BIHAR,44,44,44,44,44,44,44,44,44,44,44,44,45,42
CHANDIGARH,1,1,1,1,1,1,1,1,1,1,1,1,2,1
CHHATTISGARH,19,19,20,20,21,21,21,24,24,22,22,28,29,28
D & N HAVELI,1,1,1,1,1,1,1,1,1,1,1,1,0,0
D&N HAVELI,0,0,0,0,0,0,0,0,0,0,0,0,2,1
DAMAN & DIU,2,2,2,2,2,2,2,2,2,2,2,2,3,2
DELHI,14,20,19,19,14,14,15,18,18,18,18,18,0,0
DELHI UT,13,14,13,13,13,13,14,18,18,18,18,18,19,18
GOA,2,2,2,2,2,2,2,2,2,2,2,2,3,3
GUJARAT,26,26,26,26,26,26,26,27,27,28,30,30,31,33
HARYANA,22,20,20,20,21,22,22,22,22,22,22,21,23,22
HIMACHAL PRADESH,13,13,13,13,13,13,13,13,15,15,15,15,16,15
JAMMU & KASHMIR,22,23,23,23,23,23,23,26,26,28,27,27,28,27
JHARKHAND,25,24,24,24,24,24,26,26,26,26,26,26,27,24
KARNATAKA,27,27,27,27,27,27,27,29,29,30,30,30,31,30
KERALA,15,15,18,15,15,15,15,14,14,14,14,14,15,15
LAKSHADWEEP,1,1,1,1,1,1,1,1,1,1,1,1,2,1
MADHYA PRADESH,48,48,52,51,51,51,51,53,53,53,53,53,55,52
MAHARASHTRA,38,38,38,38,38,38,38,38,38,38,38,38,39,36
MANIPUR,9,9,9,9,9,9,9,10,10,10,10,10,11,10
MEGHALAYA,7,7,8,7,7,7,7,7,7,7,7,7,12,11
MIZORAM,8,8,8,8,8,8,8,8,8,8,8,8,11,9
NAGALAND,10,10,10,10,10,10,11,11,11,11,11,11,12,11
ODISHA,34,34,34,34,34,34,34,36,36,36,36,36,37,36
PUDUCHERRY,1,1,1,1,1,2,2,2,2,2,2,2,3,2
PUNJAB,24,24,24,25,24,25,24,23,23,23,28,25,26,25
RAJASTHAN,33,33,33,33,33,33,33,34,34,35,36,38,40,38
SIKKIM,4,4,4,4,4,4,4,4,4,4,4,4,5,5
TAMIL NADU,28,27,28,28,27,27,27,27,29,29,29,29,30,34
TELANGANA,0,0,0,0,0,0,0,0,0,0,0,0,0,10
TRIPURA,4,4,4,4,4,4,4,4,4,5,5,9,10,9
UTTAR PRADESH,71,71,72,71,71,71,71,72,72,73,76,76,77,76
UTTARAKHAND,13,13,13,13,13,13,13,13,13,13,13,13,14,13
WEST BENGAL,22,24,24,24,24,24,24,24,24,24,24,28,29,29
