STATE,row_count,unique_years,unique_units
UTTAR PRADESH,1020,14,161
MADHYA PRADESH,724,14,108
BIHAR,615,14,87
MAHARASHTRA,531,14,76
ODISHA,491,14,71
RAJASTHAN,486,14,84
ASSAM,399,14,62
TAMIL NADU,399,14,67
KARNATAKA,398,14,60
GUJARAT,388,14,66
ANDHRA PRADESH,360,14,43
JHARKHAND,352,14,52
JAMMU & KASHMIR,349,14,59
WEST BENGAL,348,14,59
PUNJAB,343,14,58
CHHATTISGARH,318,14,61
HARYANA,301,14,48
DELHI UT,220,14,44
ARUNACHAL PRADESH,215,14,35
KERALA,208,14,36
DELHI,205,12,28
HIMACHAL PRADESH,195,14,31
UTTARAKHAND,183,14,27
NAGALAND,149,14,23
MANIPUR,134,14,23
MIZORAM,116,14,20
MEGHALAYA,108,14,25
TRIPURA,74,14,20
SIKKIM,58,14,10
GOA,30,14,6
DAMAN & DIU,29,14,5
PUDUCHERRY,24,14,6
A & N ISLANDS,24,12,6
CHANDIGARH,15,14,3
LAKSHADWEEP,15,14,3
D & N HAVELI,12,12,1
TELANGANA,10,1,10
A&N ISLANDS,7,2,7
D&N HAVELI,3,2,3
